DATE;TIME;OPEN;HIGH>;LOW;CLOSE;VOL
02/05/16;00:00:00;456.9800000;465.0000000;440.0200000;462.7900000;36461
09/05/16;00:00:00;462.6000000;465.9000000;448.2000000;461.4700000;36196
16/05/16;00:00:00;461.4800000;461.5900000;435.0000000;442.4800000;40608
23/05/16;00:00:00;442.4500000;549.9900000;440.5000000;525.2200000;55935
30/05/16;00:00:00;525.2200000;594.6400000;519.0000000;575.1700000;48386
06/06/16;00:00:00;575.1700000;687.7100000;475.0000000;677.8600000;56447
13/06/16;00:00:00;677.4500000;785.1500000;650.0200000;768.7600000;81549
20/06/16;00:00:00;768.9400000;768.9400000;544.1300000;638.5600000;104304
27/06/16;00:00:00;638.5600000;705.2500000;630.0000000;663.5500000;44596
04/07/16;00:00:00;664.0900000;683.6900000;608.0000000;652.4400000;51473
11/07/16;00:00:00;652.4300000;680.9900000;640.0000000;680.0000000;53332
18/07/16;00:00:00;680.0000000;684.9400000;647.5900000;661.0000000;30804
25/07/16;00:00:00;660.9200000;664.1300000;621.3700000;626.9700000;32763
01/08/16;00:00:00;626.9700000;629.3400000;483.0000000;595.1400000;65047
08/08/16;00:00:00;595.1400000;601.0900000;565.1900000;574.9900000;33706
15/08/16;00:00:00;574.9700000;583.9900000;561.5600000;581.2900000;27254
22/08/16;00:00:00;581.3400000;586.9900000;568.9500000;575.4100000;26174
29/08/16;00:00:00;575.4100000;617.1300000;568.1200000;611.9200000;32216
05/09/16;00:00:00;611.9400000;631.3000000;591.8000000;607.9400000;28304
12/09/16;00:00:00;607.9400000;611.9900000;603.0000000;611.4000000;25402
19/09/16;00:00:00;611.4000000;612.4600000;592.6300000;601.6700000;25199
26/09/16;00:00:00;601.6700000;617.1900000;600.0200000;612.4000000;27194
03/10/16;00:00:00;612.4200000;620.0000000;606.9300000;617.4200000;27820
10/10/16;00:00:00;617.4300000;647.0300000;615.4600000;641.9200000;25694
17/10/16;00:00:00;642.1000000;658.0000000;625.6000000;651.0400000;28194
24/10/16;00:00:00;651.0500000;725.6400000;645.8100000;697.4100000;35595
31/10/16;00:00:00;697.3900000;746.1600000;672.0600000;717.0200000;37782
07/11/16;00:00:00;717.0400000;747.2600000;685.7000000;704.0100000;35394
14/11/16;00:00:00;704.0100000;753.8100000;671.2300000;731.9900000;31622
21/11/16;00:00:00;731.7200000;748.7700000;726.0000000;729.2400000;22519
28/11/16;00:00:00;729.2400000;780.0000000;728.2000000;767.9900000;27480
05/12/16;00:00:00;767.9400000;776.9900000;748.6000000;771.0500000;28881
12/12/16;00:00:00;771.0500000;791.9700000;770.8800000;790.7200000;32923
19/12/16;00:00:00;790.7100000;918.5000000;788.5800000;896.1200000;52929
26/12/16;00:00:00;895.9400000;1000.0000000;890.0000000;992.9500000;44790
02/01/17;00:00:00;992.9600000;1175.0000000;802.0700000;923.3300000;83760
